No,late_w1,late_w2,late_w3,late_w4,late_w5,late_w6,late_w7,late_w8,late_w9,late_w10,late_w11,late_w12,late_w13,late_w14,late_w15,late_w16,late_w17,late_w18,late_w19,late_w20,late_w21,late_w22,late_w23,late_w24,late_w25,late_w26,late_w27,late_w28,late_w29,late_w30,late_w31,late_w32,late_w33,late_w34,late_w35,late_w36,late_w37,late_w38,late_w39,late_w40,late_w41,late_w42,late_w43,late_w44,late_w45,late_w46,late_w47,late_w48,late_w49,over_w1,over_w2,over_w3,over_w4,over_w5,over_w6,over_w7,over_w8,over_w9,over_w10,over_w11,over_w12,over_w13,over_w14,over_w15,over_w16,over_w17,over_w18,over_w19,over_w20,over_w21,over_w22,over_w23,over_w24,over_w25,over_w26,over_w27,over_w28,over_w29,over_w30,over_w31,over_w32,over_w33,over_w34,over_w35,over_w36,over_w37,over_w38,over_w39,over_w40,over_w41,over_w42,over_w43,over_w44,over_w45,over_w46,over_w47,over_w48,over_w49,hol_w1,hol_w2,hol_w3,hol_w4,hol_w5,hol_w6,hol_w7,hol_w8,hol_w9,hol_w10,hol_w11,hol_w12,hol_w13,hol_w14,hol_w15,hol_w16,hol_w17,hol_w18,hol_w19,hol_w20,hol_w21,hol_w22,hol_w23,hol_w24,hol_w25,hol_w26,hol_w27,hol_w28,hol_w29,hol_w30,hol_w31,hol_w32,hol_w33,hol_w34,hol_w35,hol_w36,hol_w37,hol_w38,hol_w39,hol_w40,hol_w41,hol_w42,hol_w43,hol_w44,hol_w45,hol_w46,hol_w47,hol_w48,hol_w49,breakt_w1,breakt_w2,breakt_w3,breakt_w4,breakt_w5,breakt_w6,breakt_w7,breakt_w8,breakt_w9,breakt_w10,breakt_w11,breakt_w12,breakt_w13,breakt_w14,breakt_w15,breakt_w16,breakt_w17,breakt_w18,breakt_w19,breakt_w20,breakt_w21,breakt_w22,breakt_w23,breakt_w24,breakt_w25,breakt_w26,breakt_w27,breakt_w28,breakt_w29,breakt_w30,breakt_w31,breakt_w32,breakt_w33,breakt_w34,breakt_w35,breakt_w36,breakt_w37,breakt_w38,breakt_w39,breakt_w40,breakt_w41,breakt_w42,breakt_w43,breakt_w44,breakt_w45,breakt_w46,breakt_w47,breakt_w48,breakt_w49,off_w1,off_w2,off_w3,off_w4,off_w5,off_w6,off_w7,off_w8,off_w9,off_w10,off_w11,off_w12,off_w13,off_w14,off_w15,off_w16,off_w17,off_w18,off_w19,off_w20,off_w21,off_w22,off_w23,off_w24,off_w25,off_w26,off_w27,off_w28,off_w29,off_w30,off_w31,off_w32,off_w33,off_w34,off_w35,off_w36,off_w37,off_w38,off_w39,off_w40,off_w41,off_w42,off_w43,off_w44,off_w45,off_w46,off_w47,off_w48,off_w49,half_w1,half_w2,half_w3,half_w4,half_w5,half_w6,half_w7,half_w8,half_w9,half_w10,half_w11,half_w12,half_w13,half_w14,half_w15,half_w16,half_w17,half_w18,half_w19,half_w20,half_w21,half_w22,half_w23,half_w24,half_w25,half_w26,half_w27,half_w28,half_w29,half_w30,half_w31,half_w32,half_w33,half_w34,half_w35,half_w36,half_w37,half_w38,half_w39,half_w40,half_w41,half_w42,half_w43,half_w44,half_w45,half_w46,half_w47,half_w48,half_w49,worktime_w1,worktime_w2,worktime_w3,worktime_w4,worktime_w5,worktime_w6,worktime_w7,worktime_w8,worktime_w9,worktime_w10,worktime_w11,worktime_w12,worktime_w13,worktime_w14,worktime_w15,worktime_w16,worktime_w17,worktime_w18,worktime_w19,worktime_w20,worktime_w21,worktime_w22,worktime_w23,worktime_w24,worktime_w25,worktime_w26,worktime_w27,worktime_w28,worktime_w29,worktime_w30,worktime_w31,worktime_w32,worktime_w33,worktime_w34,worktime_w35,worktime_w36,worktime_w37,worktime_w38,worktime_w39,worktime_w40,worktime_w41,worktime_w42,worktime_w43,worktime_w44,worktime_w45,worktime_w46,worktime_w47,worktime_w48,worktime_w49,workday_w1,workday_w2,workday_w3,workday_w4,workday_w5,workday_w6,workday_w7,workday_w8,workday_w9,workday_w10,workday_w11,workday_w12,workday_w13,workday_w14,workday_w15,workday_w16,workday_w17,workday_w18,workday_w19,workday_w20,workday_w21,workday_w22,workday_w23,workday_w24,workday_w25,workday_w26,workday_w27,workday_w28,workday_w29,workday_w30,workday_w31,workday_w32,workday_w33,workday_w34,workday_w35,workday_w36,workday_w37,workday_w38,workday_w39,workday_w40,workday_w41,workday_w42,workday_w43,workday_w44,workday_w45,workday_w46,workday_w47,workday_w48,workday_w49
4026000,1,1,2,1,0,1,3,2,4,3,4,2,2,3,3,3,1,3,2,3,4,3,0,2,4,1,4,3,1,0,2,2,2,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,2,2,0,0,3,5,4,4,2,1,2,0,1,3,2,1,1,0,1,0,0,2,3,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,3,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,9,7,3,1,9,4,5,19,14,14,9,14,9,8,2,5,13,17,9,3,8,11,3,0,4,8,3,6,2,13,5,5,2,4,6,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1204,3551,3379,3489,1243,3668,3647,1369,3995,4351,4113,4627,4084,3590,3134,4273,180,3968,4997,4366,2636,3461,3481,3685,3292,549,3181,3776,1581,2179,3025,3744,2813,1087,3105,2606,3088,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,2,5,5,2,5,6,5,6,6,5,4,5,1,5,7,6,6,5,5,5,5,1,6,5,3,4,5,5,4,2,5,4,5,0,1,0,0,0,0,0,0,0,0,0,0
4026002,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,2,3,1,3,2,4,0,2,0,0,2,2,0,1,3,1,2,0,1,3,2,3,2,2,0,1,2,3,4,4,1,3,4,1,0,0,0,0,0,0,0,0,1,3,5,0,0,2,1,0,3,1,1,3,1,3,0,0,0,0,0,1,1,2,1,1,0,1,0,1,3,2,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,3,5,6,10,4,1,14,16,16,5,21,9,11,9,2,9,8,6,7,3,8,12,8,10,12,1,13,10,8,8,6,3,9,8,7,9,11,2,5,7,5,10,8,4,14,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2886,2855,2765,2817,2765,2761,1092,3110,4688,4061,2230,2974,3098,3195,3132,3291,2471,2427,3480,2987,3690,2811,3153,2913,2825,2940,1422,3371,3258,2945,2979,2395,1353,2952,3020,3378,3248,3044,1301,2226,3262,2854,2778,2836,1681,2952,2945,0,1,5,5,5,5,5,5,2,5,6,6,4,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,2,5,5,4,4,4,2,5,5,5,5,5,2,3,5,5,5,5,3,5,5,1
4026004,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,5,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3234,3233,5314,3182,2294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4026006,0,1,5,3,3,3,4,1,3,5,4,3,4,1,4,3,4,4,1,4,2,5,5,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,1,5,2,1,6,3,1,2,2,0,0,0,1,0,2,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,14,11,7,4,6,6,9,15,6,16,10,8,6,13,11,7,15,13,15,15,15,18,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,6,5,6,5,3,6,6,6,6,5,4,5,5,5,4,4,6,5,6,5,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4026008,0,3,4,3,1,4,4,0,1,2,2,3,4,3,1,2,1,3,2,4,3,0,4,2,4,1,2,3,5,5,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,0,0,2,1,2,2,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,14,13,1,14,0,1,5,2,8,7,4,4,4,1,8,2,7,6,5,6,2,10,2,4,4,7,17,13,6,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3033,2562,3441,4230,2951,2878,0,3267,3129,3060,3560,3350,2741,2832,2253,2543,2693,2260,2896,3291,2319,3338,2778,2767,3123,2763,2106,3419,3097,2960,2779,2209,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,6,5,4,0,5,5,5,6,5,5,5,4,5,4,4,5,5,4,5,5,5,5,5,4,6,6,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4026012,1,5,5,4,5,5,5,1,4,4,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,11,4,13,4,5,3,7,8,2,5,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3773,4603,3018,2770,2763,3861,1525,2223,2889,2375,3031,1885,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,5,6,5,5,3,5,5,4,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4026014,0,1,1,1,1,1,1,0,0,0,1,2,0,0,1,2,1,1,0,3,1,2,3,4,1,4,3,3,4,3,4,2,5,5,3,3,3,3,5,3,5,4,3,5,3,3,3,3,0,2,4,4,5,3,1,0,1,1,1,2,2,2,2,4,2,3,2,0,3,1,4,3,6,0,4,0,1,1,2,4,1,4,2,2,3,2,6,3,3,6,5,3,1,0,0,2,4,0,1,1,2,1,1,0,0,1,2,1,1,0,0,1,2,2,1,2,0,1,1,2,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,3,1,1,0,0,0,0,1,0,25,27,15,15,29,5,20,7,12,8,5,2,8,19,27,12,20,15,11,22,25,20,9,17,17,25,11,4,8,18,12,1,26,19,32,20,8,10,2,4,19,9,3,18,15,12,13,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,3435,4716,3670,3801,2732,3091,1469,3544,3621,3491,3275,3504,3667,4747,4630,3751,2728,2219,4010,3370,3548,4911,4339,2218,3507,2938,2702,2941,4285,3566,2452,4705,2774,4827,3721,3179,4398,3196,3074,3963,4641,3085,2839,2898,2217,3377,3259,0,2,6,7,5,6,5,5,3,7,6,6,5,5,6,7,7,6,6,4,6,6,6,7,6,4,5,5,5,5,6,5,3,6,5,6,5,4,6,5,4,7,6,5,5,5,4,5,5,1
4026018,0,1,1,1,0,0,0,0,1,1,2,3,2,2,1,5,1,3,3,5,5,3,5,5,5,3,5,5,4,5,5,3,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,0,2,5,7,4,3,2,0,0,0,4,4,6,0,3,1,5,2,0,0,0,2,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,2,1,1,0,0,1,0,2,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37,17,36,46,82,50,25,38,50,43,30,4,27,33,42,55,55,56,71,50,35,48,66,56,31,25,39,50,45,46,26,68,48,38,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2988,3400,3123,3501,3954,4005,1532,2491,4765,5170,4356,3839,3463,2807,2783,3363,2915,4043,4257,3209,2828,3368,4376,3538,2775,2823,3087,2995,3093,2948,1605,3933,2603,2711,1439,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,5,6,6,6,3,6,6,7,7,6,6,5,5,6,4,6,6,6,4,6,6,6,5,5,6,5,6,5,3,6,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4026022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,3,0,3,3,2,3,3,1,1,3,2,1,4,4,5,1,2,3,2,3,3,1,3,2,3,1,1,2,2,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,1,1,0,0,1,1,1,2,1,1,1,1,1,0,0,0,0,1,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,21,18,28,25,25,30,2,21,24,23,17,5,4,5,3,7,2,8,8,4,11,4,9,20,8,11,5,6,5,11,7,5,15,8,12,11,18,6,5,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3303,3097,3023,3803,3626,3913,1590,3930,4357,4030,3934,3821,2909,2508,3889,3398,2868,3993,3463,4246,2906,3585,3756,3289,3366,3352,3024,3803,3258,3742,1867,2478,3341,3682,2699,2790,3594,2997,1533,2573,2386,0,0,0,0,0,0,0,1,5,5,5,6,6,6,3,6,7,7,6,6,5,4,6,6,5,6,5,6,5,6,6,5,5,5,5,6,5,6,3,4,6,6,5,5,6,5,2,4,5,0,0,0,0,0,0,0
4026024,0,1,3,3,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,3,5,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3740,4507,4343,3495,3944,4675,1771,3890,2839,1670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,6,5,5,6,3,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4026026,0,2,4,4,4,3,3,0,3,2,1,3,4,5,3,4,3,4,3,3,5,1,2,3,3,4,3,3,2,3,1,4,4,5,5,4,3,4,5,1,1,3,3,2,2,3,4,5,1,0,2,4,3,4,1,3,0,3,5,3,5,3,4,4,3,2,3,5,6,4,3,3,3,2,4,3,4,2,3,3,5,3,2,2,3,1,2,3,0,4,2,1,2,1,6,4,6,1,0,0,1,1,1,0,0,0,0,2,1,2,2,1,1,0,2,1,3,2,1,1,0,1,1,2,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,2,2,2,0,8,31,29,28,50,25,25,0,30,56,35,32,41,33,70,45,41,41,74,51,45,30,21,40,34,46,33,48,24,46,28,23,18,38,27,44,52,21,44,13,28,28,38,14,23,35,30,56,12,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,558,2771,3934,4165,4376,3108,4554,0,2664,4643,3652,4384,4072,3781,3958,3621,4422,3375,3920,5124,4110,3659,3758,3770,3694,4091,3584,4126,2347,3871,3832,4139,2937,3543,3570,3473,3713,3776,3719,1855,3051,3353,3381,2360,2626,4162,3438,4698,0,1,4,6,6,6,5,5,0,4,7,6,7,7,6,6,5,7,5,7,7,6,5,5,6,6,7,6,6,3,6,6,5,4,6,6,5,6,6,6,3,4,6,6,4,5,7,7,7,1
4026028,1,0,2,1,0,1,3,2,2,0,2,2,1,0,1,1,1,1,1,0,2,2,2,4,1,1,2,2,0,1,0,2,2,2,3,1,1,1,3,3,1,0,3,2,2,2,1,2,1,0,1,2,0,0,2,4,1,3,2,1,1,1,2,2,1,0,0,2,2,2,0,1,1,0,0,0,0,0,0,0,0,3,0,0,2,1,2,1,1,2,3,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,0,0,0,1,1,0,0,0,0,3,24,14,6,0,11,12,10,22,14,12,20,19,15,9,9,8,13,16,9,13,16,7,19,10,19,6,8,15,16,17,18,26,25,19,43,33,44,26,37,15,38,29,43,28,19,12,17,7,0,1,0,2,5,0,0,0,0,1,0,0,1,0,2,1,0,0,1,1,0,0,1,0,0,0,3,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,486,2058,3224,1394,0,3320,3918,1617,3079,2586,2653,2872,1994,3270,1720,2446,2772,2386,2394,2219,2863,3094,2453,3015,2824,2779,1092,2558,2228,2811,2241,2045,3601,2185,2158,3130,3097,4025,2861,2550,1888,3368,3283,2946,3095,3014,2534,2379,0,1,3,5,3,0,5,5,2,5,4,5,5,4,5,3,4,5,4,4,4,5,7,4,5,5,5,2,5,4,5,4,4,6,4,4,5,5,7,6,5,3,5,5,6,6,5,5,4,1
4026030,0,0,2,2,0,1,0,1,0,2,2,0,1,0,1,0,2,1,2,3,3,3,2,1,4,2,1,0,3,1,1,2,1,1,3,1,0,2,3,1,0,4,3,4,1,2,3,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,4,6,17,4,10,16,18,13,9,9,2,5,11,3,9,12,8,5,1,4,3,1,1,7,6,7,5,3,5,3,8,8,10,6,7,16,6,5,10,14,8,7,6,2,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2945,2767,2397,2866,2762,2200,1112,2902,3137,2912,2880,2622,2956,2792,2752,2103,3112,2242,2748,2704,2166,2698,2788,2712,2802,3036,2556,2700,2775,2726,2563,2169,2758,2759,2732,1116,2966,2658,1644,1643,2754,2696,2873,2633,2713,2628,2767,0,1,5,5,4,5,5,4,2,5,5,5,5,5,5,5,5,4,4,4,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,5,5,2,5,5,3,3,5,5,5,5,5,5,5,1
4026034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,1,1,1,0,3,2,2,0,0,1,1,0,0,2,2,1,2,1,4,0,1,1,2,0,0,4,4,3,4,3,4,0,1,1,1,0,0,2,4,3,2,2,3,4,1,2,2,3,2,0,2,1,3,1,2,2,5,2,5,0,0,5,3,2,4,6,1,0,0,1,2,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,2,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,2,1,1,0,0,0,0,1,0,3,15,21,28,44,23,38,1,28,11,23,24,2,14,20,21,2,12,25,26,12,16,10,13,21,9,20,18,9,9,10,12,26,16,22,8,9,19,16,13,20,34,3,16,12,11,24,21,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3727,3737,4307,3680,2847,3665,1667,3139,3037,2929,2874,2896,2779,3563,3685,3075,2684,3858,4308,3445,2894,3504,4308,3593,2803,3142,3360,3783,3372,3108,2478,4094,2701,3915,2797,2380,4121,3259,2353,3698,4144,2698,2715,2813,2485,2962,4001,0,1,5,5,6,5,4,5,3,5,5,5,5,5,4,5,6,5,4,7,7,6,5,6,6,6,5,5,6,6,6,5,4,6,4,6,5,4,6,5,4,6,6,5,5,5,4,5,6,1
